dataset,model,seed,accuracy,precision_macro,recall_macro,f1_macro,depth,leaves,train_time
Mushroom,Greedy tree,42,1.0,1.0,1.0,1.0,4,24,0.1048898696899414
Mushroom,Roulette tree,0,0.9995898277276456,0.9996044303797469,0.9995744680851064,0.9995892803865549,10,82,0.22790265083312988
Mushroom,Roulette tree,1,0.9991796554552912,0.9992094861660079,0.9991489361702128,0.9991785360015526,7,39,0.17443227767944336
Mushroom,Roulette tree,2,1.0,1.0,1.0,1.0,6,46,0.11182236671447754
Mushroom,Roulette tree,3,1.0,1.0,1.0,1.0,7,50,0.11478757858276367
Mushroom,Roulette tree,4,1.0,1.0,1.0,1.0,5,34,0.1654980182647705
Mushroom,Roulette tree,5,0.9979491386382281,0.9979615023828521,0.9979316386179478,0.9979464019327744,7,62,0.18323469161987305
Mushroom,Roulette tree,6,1.0,1.0,1.0,1.0,6,40,0.1891477108001709
Mushroom,Roulette tree,7,0.9991796554552912,0.9991503823279524,0.9992082343626287,0.9991786334185021,7,48,0.1413276195526123
Mushroom,Roulette tree,8,1.0,1.0,1.0,1.0,6,52,0.20968270301818848
Mushroom,Roulette tree,9,1.0,1.0,1.0,1.0,6,48,0.16586589813232422
Mushroom,Sklearn tree,42,1.0,1.0,1.0,1.0,7,14,0.0066106319427490234
Iris,Greedy tree,42,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,4,9,0.0029993057250976562
Iris,Roulette tree,0,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,4,9,0.003010272979736328
Iris,Roulette tree,1,0.9333333333333333,0.9345238095238096,0.9333333333333332,0.9332591768631814,4,9,0.0030014514923095703
Iris,Roulette tree,2,0.9333333333333333,0.9345238095238096,0.9333333333333332,0.9332591768631814,4,16,0.005513429641723633
Iris,Roulette tree,3,0.8888888888888888,0.8898809523809524,0.888888888888889,0.8887652947719689,4,14,0.004006862640380859
Iris,Roulette tree,4,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,4,11,0.003479480743408203
Iris,Roulette tree,5,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,4,9,0.0030548572540283203
Iris,Roulette tree,6,0.9333333333333333,0.9345238095238096,0.9333333333333332,0.9332591768631814,4,11,0.0035071372985839844
Iris,Roulette tree,7,0.9333333333333333,0.9345238095238096,0.9333333333333332,0.9332591768631814,4,11,0.002998828887939453
Iris,Roulette tree,8,0.9333333333333333,0.9345238095238096,0.9333333333333332,0.9332591768631814,4,10,0.003079652786254883
Iris,Roulette tree,9,0.9333333333333333,0.9345238095238096,0.9333333333333332,0.9332591768631814,4,10,0.003002166748046875
Iris,Sklearn tree,42,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,6,9,0.001001119613647461
Breast_cancer,Greedy tree,42,0.9415204678362573,0.9473603906011596,0.9281542056074766,0.9362891207153503,5,31,0.060225486755371094
Breast_cancer,Roulette tree,0,0.9122807017543859,0.9039896670493686,0.9110689252336448,0.907203067906371,7,66,0.1069791316986084
Breast_cancer,Roulette tree,1,0.8830409356725146,0.8738095238095238,0.8782856308411215,0.8759071117561683,7,63,0.10534381866455078
Breast_cancer,Roulette tree,2,0.9298245614035088,0.9208628005657709,0.9345064252336448,0.926377726750861,7,64,0.10285162925720215
Breast_cancer,Roulette tree,3,0.8947368421052632,0.8861471861471861,0.8907710280373832,0.8883164005805515,8,61,0.096466064453125
Breast_cancer,Roulette tree,4,0.9122807017543859,0.9039896670493686,0.9110689252336448,0.907203067906371,7,52,0.08502006530761719
Breast_cancer,Roulette tree,5,0.9298245614035088,0.9231601731601731,0.9282272196261683,0.9255442670537011,9,53,0.08951592445373535
Breast_cancer,Roulette tree,6,0.8888888888888888,0.8794489092996556,0.8860981308411215,0.8824572193480699,7,75,0.12260675430297852
Breast_cancer,Roulette tree,7,0.9122807017543859,0.9099105812220567,0.9016501168224299,0.9054377880184332,7,45,0.08496689796447754
Breast_cancer,Roulette tree,8,0.9064327485380117,0.8973443746430612,0.9063960280373832,0.9012987012987013,6,58,0.09978795051574707
Breast_cancer,Roulette tree,9,0.8888888888888888,0.8784507042253521,0.8923773364485981,0.8837359098228663,8,62,0.09771084785461426
Breast_cancer,Sklearn tree,42,0.935672514619883,0.9353949329359166,0.9266209112149533,0.9306543778801843,8,22,0.0019991397857666016
